Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Sector,Daily Return,Cumulative Return,MA50,MA200,Change %,Country
1/2/2020,74.05999756,75.15000153,73.79750061,75.08750153,72.53852081,135480400,AAPL,Technology,,,,,,
1/3/2020,74.28749847,75.14499664,74.125,74.35749817,71.8332901,146322800,AAPL,Technology,-0.009722155,-0.009722155,,,,
1/6/2020,73.44750214,74.98999786,73.1875,74.94999695,72.40568542,118387200,AAPL,Technology,0.007968385,-0.001831239,,,,
1/7/2020,74.95999908,75.22499847,74.37000275,74.59750366,72.06517029,108872000,AAPL,Technology,-0.004702878,-0.006525506,,,,
1/8/2020,74.29000092,76.11000061,74.29000092,75.79750061,73.22440338,132079200,AAPL,Technology,0.0160859,0.009455425,,,,
1/9/2020,76.80999756,77.60749817,76.55000305,77.40750122,74.77976227,170108400,AAPL,Technology,0.021240991,0.030897259,,,,
1/10/2020,77.65000153,78.16750336,77.0625,77.58249664,74.94882965,140644800,AAPL,Technology,0.002260871,0.033227984,,,,
1/13/2020,77.91000366,79.26750183,77.78749847,79.23999786,76.55004883,121532000,AAPL,Technology,0.021364165,0.055302038,,,,
1/14/2020,79.17500305,79.39250183,78.04250336,78.16999817,75.51637268,161954400,AAPL,Technology,-0.013503272,0.041052007,,,,
1/15/2020,77.96250153,78.875,77.38749695,77.83499908,75.19272614,121923600,AAPL,Technology,-0.00428578,0.036590287,,,,
1/16/2020,78.39749908,78.92500305,78.02249908,78.80999756,76.13463593,108829200,AAPL,Technology,0.012526608,0.049575247,,,,
1/17/2020,79.06749725,79.68499756,78.75,79.68250275,76.97753906,137816400,AAPL,Technology,0.011071218,0.061195324,,,,
1/21/2020,79.29750061,79.75499725,79,79.14250183,76.45586395,110843200,AAPL,Technology,-0.006776978,0.054003626,,,,
1/22/2020,79.64499664,79.99749756,79.32749939,79.42500305,76.7287674,101832400,AAPL,Technology,0.003569425,0.057765812,,,,
1/23/2020,79.48000336,79.88999939,78.91249847,79.80750275,77.09828949,104472000,AAPL,Technology,0.004815952,0.062859962,,,,
1/24/2020,80.0625,80.83249664,79.37999725,79.57749939,76.876091,146537600,AAPL,Technology,-0.002882016,0.059796783,,,,
1/27/2020,77.51499939,77.94249725,76.22000122,77.23750305,74.61554718,161940000,AAPL,Technology,-0.029405031,0.028633426,,,,
1/28/2020,78.15000153,79.59999847,78.04750061,79.42250061,76.72634125,162234000,AAPL,Technology,0.028288931,0.057732366,,,,
1/29/2020,81.11250305,81.96250153,80.34500122,81.08499908,78.33242035,216229200,AAPL,Technology,0.020932565,0.079873417,,,,
1/30/2020,80.13500214,81.02249908,79.6875,80.96749878,78.21891022,126743200,AAPL,Technology,-0.001449082,0.078308592,,,,
1/31/2020,80.23249817,80.66999817,77.07250214,77.37750244,74.75077057,199588400,AAPL,Technology,-0.04433889,0.030497586,,,,
2/3/2020,76.07499695,78.37249756,75.55500031,77.16500092,74.54547882,173788400,AAPL,Technology,-0.00274635,0.027667479,,,,
2/4/2020,78.82749939,79.91000366,78.40750122,79.71250153,77.00650787,136616400,AAPL,Technology,0.033013794,0.061594681,,,,
