"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2025","460.00","460.00","460.00","460.00","895.25K","0.00%"
"08/11/2025","460.00","460.00","460.00","460.00","1.37M","0.00%"
"08/08/2025","460.00","480.00","460.00","460.00","4.24M","-4.17%"
"08/07/2025","480.00","480.00","480.00","480.00","2.48M","0.00%"
"08/06/2025","480.00","480.00","480.00","480.00","3.82M","0.00%"
"08/05/2025","480.00","480.00","480.00","480.00","1.90M","0.00%"
"08/04/2025","480.00","480.00","480.00","480.00","1.50M","0.00%"
"08/01/2025","480.00","472.00","480.00","480.00","1.49M","1.69%"
"07/31/2025","472.00","471.10","495.00","425.00","5.89M","0.19%"
"07/30/2025","471.10","451.60","471.10","471.10","6.99M","4.32%"
"07/29/2025","451.60","410.60","451.60","450.00","8.02M","9.99%"
"07/28/2025","410.60","400.00","410.60","410.20","4.03M","2.65%"
"07/25/2025","400.00","398.00","400.00","398.00","3.44M","1.27%"
"07/24/2025","395.00","400.00","395.00","395.00","1.78M","-1.25%"
"07/23/2025","400.00","400.00","400.00","400.00","839.54K","0.00%"
"07/22/2025","400.00","400.00","400.00","400.00","672.64K","0.00%"
"07/21/2025","400.00","400.00","400.00","400.00","485.00K","0.00%"
"07/18/2025","400.00","400.00","400.00","400.00","235.35K","0.00%"
"07/17/2025","400.00","400.00","400.00","400.00","2.66M","0.00%"
"07/16/2025","400.00","395.00","400.00","400.00","1.91M","1.27%"
"07/14/2025","395.00","395.00","395.00","395.00","854.09K","0.00%"
"07/11/2025","395.00","390.00","395.00","395.00","2.22M","1.28%"
"07/10/2025","390.00","355.00","390.00","364.70","1.74M","9.86%"
"07/09/2025","355.00","355.00","355.00","355.00","1.61M","0.00%"
"07/08/2025","355.00","357.50","355.00","355.00","7.52M","-0.70%"
"07/07/2025","357.50","357.50","357.50","357.50","704.91K","0.00%"
"07/04/2025","357.50","357.50","357.50","357.50","1.58M","0.00%"
"07/03/2025","357.50","357.50","357.50","357.50","571.18K","0.00%"
"07/02/2025","357.50","357.50","357.50","357.50","666.04K","0.00%"
"07/01/2025","357.50","357.50","357.50","357.50","430.13K","0.00%"
"06/30/2025","357.50","357.50","357.50","357.50","498.27K","0.00%"
"06/27/2025","357.50","357.50","357.50","357.50","369.42K","0.00%"
"06/26/2025","357.50","358.00","357.50","357.50","2.14M","-0.14%"
"06/25/2025","358.00","356.20","358.00","358.00","1.07M","0.51%"
"06/24/2025","356.20","352.60","356.20","356.20","2.45M","1.02%"
"06/23/2025","352.60","355.90","352.60","352.60","1.53M","-0.93%"
"06/20/2025","355.90","355.90","355.90","355.90","5.33M","0.00%"
"06/19/2025","355.90","350.00","355.90","355.00","5.81M","1.69%"
"06/18/2025","350.00","334.00","350.00","340.00","2.67M","4.79%"
"06/17/2025","334.00","326.00","334.00","334.00","2.71M","2.45%"
"06/16/2025","326.00","325.00","326.00","325.00","3.54M","0.31%"
"06/13/2025","325.00","320.00","325.00","325.00","1.91M","1.56%"
"06/11/2025","320.00","310.00","320.00","320.00","4.38M","3.23%"
"06/10/2025","310.00","319.20","310.00","310.00","1.40M","-2.88%"
"06/05/2025","319.20","290.20","319.20","298.00","5.62M","9.99%"
"06/04/2025","290.20","290.20","290.20","290.20","1.04M","0.00%"
"06/03/2025","290.20","289.00","290.20","290.20","2.71M","0.42%"
"06/02/2025","289.00","280.10","289.00","289.00","2.17M","3.18%"
"05/30/2025","280.10","275.00","281.10","275.00","14.03M","1.85%"
"05/29/2025","275.00","275.00","275.00","275.00","7.41M","0.00%"
"05/28/2025","275.00","270.00","275.00","275.00","17.68M","1.85%"
"05/27/2025","270.00","270.00","270.00","270.00","1.02M","0.00%"
"05/26/2025","270.00","270.00","270.00","270.00","440.40K","0.00%"
"05/23/2025","270.00","275.00","275.00","270.00","15.87M","-1.82%"
"05/22/2025","275.00","275.00","275.00","275.00","8.59M","0.00%"
"05/21/2025","275.00","275.00","275.00","275.00","763.11K","0.00%"
"05/20/2025","275.00","275.00","275.00","275.00","3.58M","0.00%"
"05/19/2025","275.00","278.00","275.00","275.00","2.03M","-1.08%"
"05/16/2025","278.00","278.00","278.00","278.00","1.95M","0.00%"
"05/15/2025","278.00","278.00","278.00","278.00","12.45M","0.00%"
"05/14/2025","278.00","279.00","279.00","275.00","20.22M","-0.36%"
"05/13/2025","279.00","279.00","279.00","279.00","510.55K","0.00%"
"05/12/2025","279.00","284.90","279.00","279.00","16.10M","-2.07%"
"05/09/2025","284.90","284.90","284.90","284.90","1.40M","0.00%"
"05/08/2025","284.90","284.90","284.90","284.90","2.47M","0.00%"
"05/07/2025","284.90","284.90","284.90","284.90","2.87M","0.00%"
"05/06/2025","284.90","261.00","284.90","280.00","2.44M","9.16%"
"05/05/2025","261.00","255.00","261.00","257.00","3.38M","2.35%"
"05/02/2025","255.00","250.00","255.00","249.00","6.73M","2.00%"
"04/30/2025","250.00","240.00","250.00","245.00","14.69M","4.17%"
"04/29/2025","240.00","255.50","250.00","240.00","86.85M","-6.07%"
"04/28/2025","255.50","255.50","255.50","255.50","2.21M","0.00%"
"04/25/2025","255.50","245.00","259.90","248.00","32.97M","4.29%"
"04/24/2025","245.00","239.00","245.00","243.00","5.85M","2.51%"
"04/23/2025","239.00","242.00","239.30","239.00","10.04M","-1.24%"
"04/22/2025","242.00","242.00","242.00","242.00","473.94K","0.00%"
"04/17/2025","242.00","243.00","242.00","241.90","6.04M","-0.41%"
"04/16/2025","243.00","243.00","243.00","243.00","897.55K","0.00%"
"04/15/2025","243.00","243.40","243.00","240.90","11.30M","-0.16%"
"04/14/2025","243.40","235.00","243.40","243.40","869.96K","3.57%"
"04/11/2025","235.00","245.00","235.00","230.00","5.99M","-4.08%"
"04/10/2025","245.00","245.00","245.00","245.00","6.02M","0.00%"
"04/09/2025","245.00","245.00","245.00","245.00","5.17M","0.00%"
"04/08/2025","245.00","245.00","245.00","245.00","560.14K","0.00%"
"04/07/2025","245.00","245.00","245.00","245.00","847.02K","0.00%"
"04/04/2025","245.00","245.00","245.00","245.00","1.48M","0.00%"
"04/03/2025","245.00","245.00","245.00","245.00","410.05K","0.00%"
"04/02/2025","245.00","245.00","245.00","245.00","5.86M","0.00%"
"03/28/2025","245.00","245.00","245.00","245.00","426.42K","0.00%"
"03/27/2025","245.00","238.40","245.00","244.50","4.10M","2.77%"
"03/26/2025","238.40","245.00","238.40","238.40","2.49M","-2.69%"
"03/25/2025","245.00","245.00","245.00","245.00","1.88M","0.00%"
"03/24/2025","245.00","245.00","245.00","245.00","677.25K","0.00%"
"03/21/2025","245.00","245.00","245.00","245.00","4.40M","0.00%"
"03/20/2025","245.00","245.00","245.00","245.00","477.98K","0.00%"
"03/19/2025","245.00","245.00","245.00","245.00","3.60M","0.00%"
"03/18/2025","245.00","245.00","245.00","245.00","2.09M","0.00%"
"03/17/2025","245.00","245.00","245.00","245.00","5.36M","0.00%"
"03/14/2025","245.00","245.00","245.00","245.00","5.17M","0.00%"
"03/13/2025","245.00","245.00","245.00","245.00","1.11M","0.00%"
"03/12/2025","245.00","245.00","245.80","245.00","10.96M","0.00%"
"03/11/2025","245.00","255.80","245.00","245.00","1.49M","-4.22%"
"03/10/2025","255.80","255.80","255.80","255.80","556.10K","0.00%"
"03/07/2025","255.80","264.20","255.80","247.60","863.12K","-3.18%"
